Name,RAJ2000,DEJ2000,x_kpc,y_kpc,z_kpc,SpType_a,Teff,j_m,j_msigcom,j_snr,h_m,h_msigcom,h_snr,k_m,k_msigcom,k_snr,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ruwe,r_est,r_lo,r_hi,r_len,Ks,H,J,Ks_0,H_0,J_0,MKs,Mbol,sample
Gaia EDR3 5862467047203586048,199.433625,-62.6893889,-7.009318302950497,-1.366365894192244,0.02274332263011301,M4,3535.0,4.221,0.284,505860.0,2.972,0.23600000000000002,733010.0,2.378,0.248,741686.0,5862467047203586048,199.43356100860768,0.07950634274906349,-62.689403518089186,0.0826864583442784,0.5925221192757273,0.11596699634999527,-6.769757877687721,0.1362262514741342,-1.9022237186584912,0.14851621171650353,4800016.523899727,34377.486852976355,8.985259,4.5018980000000015,3.0134057999999997,1.488492,-33.72137657029296,0.5241856165842763,305.9429719242513,0.02850885291874717,1.0275263000000001,1660.1319994376404,1361.18428832849,2118.50791856167,1453.9708574298404,2.378,2.972,4.221,2.258,3.9387415244581283,2.689741524458128,-8.842713103899854,-5.951424603899852,bronze
Gaia EDR3 4310989040186024064,285.56325625,10.240188333333334,-7.2103462270228285,0.7432969824747937,0.06566948056960997,M3,3605.0,3.949,0.236,696354.0,2.545,0.20199999999999999,1000000.0,2.021,0.222,995451.0,4310989040186024064,285.5632481155397,0.07873234860340933,10.240171840150072,0.09560368727719204,0.9214982182776168,0.10443455032282126,-1.9219776801836808,0.19546896872446,-3.7423913822732864,0.19573948737583832,12662078.442427766,50910.201228033206,7.932103,3.536117,2.2191534,1.3169636999999998,-20.999862906494435,0.43717053860017946,43.27409467933539,2.2780206902760134,1.1101317,1068.14407380011,955.013300619752,1210.97952301379,1381.91271251552,2.021,2.545,3.949,1.891,3.657323713578109,2.253323713578109,-8.252149176554259,-5.413983676554259,bronze
Gaia EDR3 5852708748444278784,215.9899583,-64.25927779999999,-6.113244703569043,-2.0401383341577617,-0.1347806094789287,M3,3605.0,5.105,0.232,240121.0,3.844,0.248,390220.0,3.48,0.278,268794.0,5852708748444278784,215.98991530534752,0.039491079125659134,-64.25927726928943,0.046391460704641334,0.3592710498243816,0.0647765913224163,-5.314083583797461,0.062485956107376825,-3.8520930406966163,0.08889002547969678,5955359.04248903,18036.38259598103,8.751096,3.750927,2.3998156,1.3511114,-82.4604208408017,0.6426361920069075,312.7700522365153,-3.1692621013976936,0.857341,2602.2629203971,2202.07083935256,3169.2380072861797,1592.0127297102695,3.48,3.844,5.105,3.37,4.8494981956890655,3.5884981956890654,-8.706755867563453,-5.868590367563453,bronze
Gaia EDR3 2063624553284345728,309.90217625,39.202691111111115,-7.8198265944792915,0.9509233631398232,-0.00010187878840641623,M3,3605.0,4.697,0.244,493890.0,2.777,0.19,1000000.0,1.867,0.29600000000000004,1000000.0,2063624553284345728,309.9021664898476,0.09783473050763072,39.20267098122349,0.10717445622570278,1.032887157618655,0.12361650046002153,-1.6513812429605033,0.21680015909426986,-4.859069268170646,0.21716421255155635,1830122.8207491282,6557.204481322469,10.032166,5.865719,4.2542542999999995,1.6114645,-20.465596020270077,0.4208367653423501,79.26903996755394,-1.4524641160785214,1.2517208999999998,951.316651513172,846.219578725067,1085.26606366231,753.162621957287,1.867,2.777,4.697,1.057,2.8159390419241292,0.8959390419241295,-8.834625492758224,-5.9964599927582265,bronze
Gaia EDR3 5878377362726334720,218.2483333,-61.2988333,-6.727915657942445,-1.2803413308456943,-0.003940653216985468,M3,3605.0,4.8580000000000005,0.037000000000000005,262561.0,3.663,0.21600000000000003,493981.0,3.417,0.23800000000000002,275182.0,5878377362726334720,218.2483092378669,0.034401221080717415,-61.29884841370468,0.03827803138672412,0.5540008342114973,0.044992013579270115,-1.5780306458124458,0.050180194595124405,-0.9486216455134756,0.08943191164763795,11263094.963388355,10321.824859604556,8.059221,2.835815,1.6348181,1.2009968999999998,-11.175225644718807,0.6379115453203233,314.81571381837534,-0.7924691517574413,0.9980099,1722.7535525256799,1596.08274972044,1870.72701823285,1353.13763750776,3.417,3.663,4.8580000000000005,3.287,4.563202972218618,3.3682029722186164,-7.894115770776348,-5.055950270776347,bronze
Gaia EDR3 5876066051934003456,231.6494583,-59.0891389,-6.590240018577767,-1.1128252319187664,-0.042063686741380966,M3,3605.0,4.908,0.037000000000000005,234008.0,3.926,0.284,294110.0,3.479,0.228,226371.0,5876066051934003456,231.64939830136262,0.05382197757202567,-59.089131183421394,0.04692491139574903,0.5563984676463378,0.06749115108726174,-3.3741403932919702,0.10109143299229538,-4.123750942749571,0.12593534015571545,5263892.545361957,18615.315027808883,8.885098,3.608058,2.262065,1.345993,-43.4103931687078,0.4069818219659722,321.71669870981015,-1.997905774494276,0.86155635,1728.74046178798,1538.79785184181,1970.606388032,1545.80894734943,3.479,3.926,4.908,3.309,4.5110486521881175,3.5290486521881173,-7.879648984663408,-5.0414834846634085,bronze
Gaia EDR3 5871308465073102720,209.3670417,-57.7111111,-7.2974551464345705,-0.7886587120641104,0.0972830085647848,M3,3605.0,2.6430000000000002,0.254,1000000.0,1.732,0.23600000000000002,1000000.0,1.3969999999999998,0.242,1000000.0,5871308465073102720,209.3669782097287,0.05536550920578561,-57.711119805389785,0.06504580014790352,0.9446068556912248,0.1011672928325311,-5.9858892750586685,0.17616331920768236,-1.5343812269939243,0.16380637831563974,84599874.63419718,183927.65191180282,5.8699410000000025,2.8981457,1.703054,1.1950916999999999,,,311.6841427591037,4.034240078958913,0.84889746,1040.92887802828,937.754285345029,1169.0276178829301,1323.20095178983,1.3969999999999998,1.732,2.6430000000000002,1.3369999999999995,2.4941528864078437,1.5831528864078426,-8.750105285712861,-5.91193978571286,bronze
Gaia EDR3 2004261439476983424,333.440625,52.3225556,-8.65536070732052,3.6933698345949786,-0.19591717335175232,M3,3605.0,5.93,0.021,120346.0,5.025,0.047,122718.0,4.714,0.031,109855.0,2004261439476983424,333.4405658961982,0.03967190445389926,52.32255389737433,0.031893297904390897,0.26612942414690066,0.04168690614181349,-3.759677640266253,0.07809237545559575,-2.742750969135165,0.06593464843266934,4200773.761710706,5726.510535469629,9.130042,2.8413491,1.6336993999999998,1.2076497,-56.33307008308819,0.2381926793758137,100.05218320988031,-3.401847378023477,0.93682176,3320.6570159212397,2907.9456038299,3859.354760809621,1091.42904710949,4.714,5.025,5.93,4.6640000000000015,5.8038685694044325,4.898868569404433,-7.942120102494768,-5.103954602494769,bronze
Gaia EDR3 458569917288566528,34.72204791666667,57.42132305555555,-9.05264017242352,1.0701723521702802,-0.06271260231960166,M3,3605.0,3.677,0.292,1000000.0,2.679,0.204,1000000.0,2.194,0.23,1000000.0,458569917288566528,34.72204153413439,0.05160588327672635,57.42131853065287,0.07394205478360988,0.6650288794372905,0.08779415224978633,-0.5265002371379409,0.15993532643382502,-1.1055161553416422,0.19473692852578656,21749110.365931828,159507.7500691546,7.3447619999999985,3.443660700000001,2.1695613999999996,1.2740993,-34.87429191232438,0.2764179586970255,134.52032612914857,-3.469598491768024,1.0963559999999999,1452.57058514707,1280.70357408165,1675.6175027488,968.1558309842868,2.194,2.679,3.677,2.0540000000000003,3.3588800017237666,2.3608800017237663,-8.756686226809459,-5.918520726809459,bronze
Gaia EDR3 464888329572408192,42.4767917,61.03586110000001,-8.714560681956476,0.6715326621588925,0.05104482964154409,M3,3605.0,4.372,0.298,643621.0,2.879,0.22,1000000.0,2.071,0.23199999999999998,1000000.0,464888329572408192,42.476808892765824,0.07517784639903376,61.03586398450209,0.07601529061698142,1.0194070564001942,0.0993760937257975,-0.13013019336108422,0.11441900857368804,-1.6689544576003723,0.15845731900515767,5774996.226562445,12912.953093372384,8.784487,4.508577,3.0445604,1.4640164,-50.3535192906385,0.6042308221633403,136.78276629960718,1.3909159987420985,1.0198277,964.545993244025,876.783077091358,1071.40097165518,1241.4054788100698,2.071,2.879,4.372,1.9410000000000005,4.058413816288842,2.565413816288842,-7.980614706482433,-5.142449206482432,bronze
Gaia EDR3 512625619760021248,21.493125,63.49225,-9.375600151926678,1.8407516234449213,0.06453501919508772,M3,3605.0,5.432,0.023,234223.0,4.452,0.21,264917.0,3.931,0.32,250622.0,512625619760021248,21.49314260833621,0.05261667522707375,63.49225371347492,0.05603858574682938,0.4350988568541347,0.07705842449928864,-1.053883342953219,0.09611362192679462,-0.3000627464277445,0.10269267803818516,3064553.122555816,11968.085275646616,9.472447,3.5958165999999996,2.2880792999999997,1.3077374,-59.78260130726344,1.3913540883838798,126.77405000990153,0.8784222143061255,1.0365703000000002,2171.11221990262,1839.90498666147,2638.38676983972,1256.36278570326,3.931,4.452,5.432,3.701,4.886371490235205,3.9063714902352054,-7.982411358692888,-5.144245858692887,bronze
Gaia EDR3 5935426245099637632,245.3586667,-49.39794439999999,-6.535288947760389,-0.7137986092188349,0.03085131277007112,M3,3605.0,4.677,0.26,260994.0,3.394,0.248,364175.0,3.018,0.29,346115.0,5935426245099637632,245.35865154253915,0.06755684218878406,-49.397958504914406,0.04582840865332438,0.6137387508536493,0.0744230209436491,-1.2160087956658787,0.1133952854006678,-2.678365258521172,0.07290284105749438,10064386.78522576,13463.232336758858,8.181397,3.2491927000000005,1.9568815,1.2923111999999999,-32.175452574901534,0.3738923067859429,334.0176603173049,0.3666790649716508,0.9721525,1573.35391052996,1400.04376321694,1794.1407606628602,1334.3859342357598,3.018,3.394,4.677,2.858,4.3020514172469255,3.0190514172469265,-8.126132119480527,-5.287966619480527,bronze
Gaia EDR3 3031139363475712640,109.9249167,-15.871166699999998,-10.078032921826908,-2.4968851224804016,-0.03155078290971277,M3,3605.0,5.0489999999999995,0.264,290289.0,3.938,0.226,333972.0,3.697,0.278,212628.0,3031139363475712640,109.92492619646453,0.039594937841613616,-15.871171311686563,0.042310925107139886,0.3077867857330352,0.05734276119833447,-2.9152450089703743,0.08180735585189128,2.0219113725557625,0.08127431400203906,10815000.469594616,21322.804045062458,8.103299,2.7641826000000003,1.5779504999999998,1.1862321000000002,62.15717020135436,0.5933425002767739,230.23312717648471,-1.111735814750593,1.0644234,2947.42860203088,2498.72319380074,3576.1856281158002,1305.83196258956,3.697,3.938,5.0489999999999995,3.587,4.795950004309415,3.684950004309416,-8.760216468123899,-5.922050968123899,bronze
Gaia EDR3 3323951095335630976,95.20139875,5.740600833333334,-9.015490384503813,-0.4586782255735717,-0.052696640789664594,M3,3605.0,3.738,0.328,1000000.0,2.7060000000000004,0.214,1000000.0,2.324,0.276,1000000.0,3323951095335630976,95.20140588663011,0.06287315365340103,5.7405951200414105,0.06659994651616448,0.8952431147795865,0.07961239740577412,1.7400190499805013,0.118426452287649,-1.4218492824094635,0.10234522732191167,40874192.73953358,123564.57679548186,6.659742999999999,2.9170437000000002,1.7052865000000001,1.2117572,,,204.3122824250484,-4.151632035084038,1.0207199,1091.75008466089,1000.9600865138199,1200.25944006767,1359.5258560705302,2.324,2.7060000000000004,3.738,2.254,3.5717100077569484,2.5397100077569488,-7.93661617135597,-5.0984506713559705,bronze
